rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week,genre
3,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Meek Mill, Drake",Going Bad (feat. Drake),MMG/Atlantic,2,3,6,9576466,Winter,January,14,Rap/HipHop
4,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Cactus Jack / Epic / Grand Hustle,1,4,23,9005380,Winter,January,14,Rap/HipHop
5,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,6,17,8917200,Winter,January,14,Rap/HipHop
6,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",Republic Records,1,5,10,8590215,Winter,January,14,Pop
7,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Capitol Records,6,8,14,8442905,Winter,January,14,Alternative
8,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"Kodak Black, Offset, Travis Scott",ZEZE (feat. Travis Scott & Offset),Atlantic Records,1,7,13,7930686,Winter,January,14,Rap/HipHop
9,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,1,9,24,7305500,Winter,January,14,Rap/HipHop
10,spotify:track:14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Leave Me Alone,Cinematic/Epic/We The Best,10,10,22,6455797,Winter,January,14,Rap/HipHop
11,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,Highbridge the Label / Atlantic Records,11,14,5,6306240,Winter,January,14,Rap/HipHop
12,spotify:track:2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot,"Slaughter Gang, LLC/Epic Records",9,12,3,5842884,Winter,January,14,Rap/HipHop
13,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,DCD2 / Fueled By Ramen,13,23,30,5716237,Winter,January,14,Alternative
14,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky,Guwop Enterprises/Atlantic,6,13,17,5590754,Winter,January,14,Rap/HipHop
15,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,11,36,5155712,Winter,January,14,Rap/HipHop
16,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,"Bad Vibes Forever, LLC",1,15,45,5044666,Winter,January,14,Rap/HipHop
17,spotify:track:0jAfdqv18goRTUxm3ilRjb,"A Boogie Wit da Hoodie, Tyga, Offset",Startender (feat. Offset and Tyga),Highbridge the Label / Atlantic Records,17,22,4,5041228,Winter,January,14,Rap/HipHop
18,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,Republic Records,1,19,37,4932963,Winter,January,14,Rap/HipHop
19,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Astralwerks,8,18,21,4914581,Winter,January,14,Dance
20,spotify:track:2FUNBaa5DwItJtYEBgAblU,21 Savage,monster,"Slaughter Gang, LLC/Epic Records",16,16,3,4798501,Winter,January,14,Rap/HipHop
21,spotify:track:2GGMabyHXnJmjY6CXhhB2e,Cardi B,Money,Atlantic/KSR,17,20,12,4752055,Winter,January,14,Rap/HipHop
22,spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Better,"Right Hand Music Group, LLC/RCA Records",9,24,17,4729224,Winter,January,14,R&B/Soul
23,spotify:track:7pdF27mSDuPWhppnHAmWHa,XXXTENTACION,whoa (mind in awe),Bad Vibes Forever / EMPIRE,2,21,5,4716430,Winter,January,14,Rap/HipHop
24,spotify:track:5kfNriitmkNE8mUbZ7gbq8,Khalid,Saturday Nights,"Right Hand Music Group, LLC/RCA Records",24,26,11,4527052,Winter,January,14,R&B/Soul
25,spotify:track:7FGq80cy8juXBCD2nrqdWU,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Friends Keep Secrets/Interscope Records,10,28,26,4446253,Winter,January,14,Pop
26,spotify:track:0todbbT9g5uQGbeFCiBf2F,Ariana Grande,imagine,Republic Records,7,17,4,4440126,Winter,January,14,Pop
27,spotify:track:7AYuSG1LoaaFVKjOxsB6Vh,Future,Crushed Up,Epic/Freebandz,27,-1,1,4429656,Winter,January,14,Rap/HipHop
28,spotify:track:14JzyD6FlBD5z0wV5P07YI,Billie Eilish,when the party's over,Darkroom/Interscope Records,12,31,13,4329344,Winter,January,14,Alternative
29,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,"Bad Vibes Forever, LLC",3,25,43,4262055,Winter,January,14,Rap/HipHop
30,spotify:track:5wujBwqG7INdStqGd4tRMX,Juice WRLD,Armed And Dangerous,Juice WRLD Mixtape / ISR P&D,9,30,9,4220990,Winter,January,14,Rap/HipHop
31,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop,Cash Money/Drake LP6,1,27,28,4142882,Winter,January,14,Rap/HipHop
32,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA (feat. Drake),OVO Sound/Warner Records,2,29,13,3987983,Winter,January,14,Rap/HipHop
33,spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Close To Me (with Diplo) (feat. Swae Lee),Polydor Records,33,38,11,3884287,Winter,January,14,Pop
34,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Taste (feat. Offset),Last Kings Music / EMPIRE,4,34,34,3858878,Winter,January,14,Rap/HipHop
35,spotify:track:2LskIZrCeLxRvCiGP8gxlh,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",Arms Around You (feat. Maluma & Swae Lee),Warner Records,6,35,11,3815732,Winter,January,14,Rap/HipHop
36,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,Atlantic Records,36,49,14,3786822,Winter,January,14,Pop
37,spotify:track:22An65gG31JLf9n18qjdhZ,XXXTENTACION,BAD!,Bad Vibes Forever / EMPIRE,2,32,9,3744781,Winter,January,14,Rap/HipHop
38,spotify:track:1NJcg626wLln4pGHpiV7mf,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,48,38,3646489,Winter,January,14,Alternative
39,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),Republic Records,1,36,69,3554389,Winter,January,14,Rap/HipHop
40,spotify:track:74lnM5V6ecvoTPV0fvptx9,"Ski Mask The Slump God, Juice WRLD",Nuketown (feat. Juice WRLD),Republic Records,18,43,6,3507279,Winter,January,14,Rap/HipHop
41,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,42,72,3457638,Winter,January,14,Rap/HipHop
42,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",I Like It,Atlantic/KSR,3,33,40,3447506,Winter,January,14,Rap/HipHop
43,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",7,39,15,3440372,Winter,January,14,Rap/HipHop
44,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Travis Scott,YOSEMITE,Cactus Jack / Epic / Grand Hustle,7,46,23,3415045,Winter,January,14,Rap/HipHop
45,spotify:track:2MShy1GSSgbmGUxADNIao5,Kodak Black,Calling My Spirit,Atlantic Records,31,58,6,3406868,Winter,January,14,Rap/HipHop
46,spotify:track:1KVczjazCcCCgM3gXXUl47,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie),Friends Keep Secrets/Interscope Records,46,53,5,3385341,Winter,January,14,Rap/HipHop
47,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Yes Indeed,"Quality Control Music, LLC",2,44,35,3352630,Winter,January,14,Rap/HipHop
48,spotify:track:40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,idontwannabeyouanymore,Darkroom,48,54,26,3315264,Winter,January,14,Alternative
49,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Psycho (feat. Ty Dolla $ign),Republic Records,2,45,46,3239582,Winter,January,14,Rap/HipHop
50,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,"6ix9ine, Tory Lanez",KIKA,"Scumgang Records/TenThousand Projects, LLC",9,41,7,3236933,Winter,January,14,Rap/HipHop
51,spotify:track:1fewSx2d5KIZ04wsooEBOz,"Metro Boomin, Gunna",Space Cadet (feat. Gunna),Republic Records,20,57,10,3221198,Winter,January,14,Rap/HipHop
52,spotify:track:1wJRveJZLSb1rjhnUHQiv6,"A Boogie Wit da Hoodie, 6ix9ine",Swervin (feat. 6ix9ine),Highbridge the Label / Atlantic Records,52,67,3,3142107,Winter,January,14,Rap/HipHop
53,spotify:track:5274I4mUMnYczyeXkGDWZN,"Future, Juice WRLD",Fine China,Epic/Freebandz/Grade A/Interscope,6,51,13,3141626,Winter,January,14,Rap/HipHop
54,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,Cash Money/Drake LP6,1,40,51,3135723,Winter,January,14,Rap/HipHop
55,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,Universal Records,2,50,69,3114044,Winter,January,14,Rap/HipHop
56,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,11,71,15,3015496,Winter,January,14,Pop
57,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,Trippie Redd,Topanga,"TenThousand Projects, LLC",11,56,12,2959034,Winter,January,14,Rap/HipHop
58,spotify:track:4paAidoE8VAemwU4jgCc6l,21 Savage,all my friends,"Slaughter Gang, LLC/Epic Records",20,37,3,2949781,Winter,January,14,Rap/HipHop
59,spotify:track:4QIyEq7TcTdAcxjI2AFlAK,"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,"Scumgang Records/TenThousand Projects, LLC",2,47,25,2949257,Winter,January,14,Rap/HipHop
60,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,"Lil Baby, Gunna, Drake","Never Recover (Lil Baby & Gunna, Drake)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",3,52,14,2934002,Winter,January,14,Rap/HipHop
61,spotify:track:4uP3pUP18ennmz0tb3GphR,Bad Bunny,Solo de Mi,Rimas Entertainment LLC,55,55,4,2928733,Winter,January,14,Urbano Latino
62,spotify:track:79OEIr4J4FHV0O3KrhaXRb,Rich The Kid,Splashin,Interscope Records,61,61,4,2906188,Winter,January,14,Rap/HipHop
63,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),iamcosmic,30,65,23,2863536,Winter,January,14,Pop
64,spotify:track:3L19besdNQzd342qL78xqm,"A Boogie Wit da Hoodie, Juice WRLD",Demons and Angels (feat. Juice WRLD),Highbridge the Label / Atlantic Records,54,60,3,2842659,Winter,January,14,Rap/HipHop
65,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,63,72,2827702,Winter,January,14,Rap/HipHop
66,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",Look Alive (feat. Drake),OVO Sound/Warner Records,3,66,48,2787661,Winter,January,14,Rap/HipHop
67,spotify:track:04MLEeAMuV9IlHEsD8vF6A,"French Montana, Drake",No Stylist (feat. Drake),Epic,21,69,16,2768517,Winter,January,14,Rap/HipHop
68,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,17,64,39,2733648,Winter,January,14,Pop
69,spotify:track:27rdGxbavYJeBphck5MZAF,"Mark Ronson, Miley Cyrus",Nothing Breaks Like a Heart (feat. Miley Cyrus),Columbia,36,62,6,2654281,Winter,January,14,Pop
70,spotify:track:6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Noticed,Mogul Vision/Interscope Records,20,75,21,2620128,Winter,January,14,Rap/HipHop
71,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,71,78,32,2618640,Winter,January,14,R&B/Soul
72,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,"Metro Boomin, 21 Savage",10 Freaky Girls (with 21 Savage),Republic Records,11,70,10,2613208,Winter,January,14,Rap/HipHop
73,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings,Cash Money/Drake LP6,1,59,28,2603069,Winter,January,14,Rap/HipHop
74,spotify:track:577YBGuskWkVDCxZrLRB4v,Lil Baby,Pure Cocaine,Quality Control Music/Motown Records/Capitol Records,52,84,6,2573959,Winter,January,14,Rap/HipHop
75,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,68,38,2525771,Winter,January,14,Rap/HipHop
76,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",7,72,45,2521843,Winter,January,14,Rap/HipHop
77,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,81,63,2470825,Winter,January,14,Rap/HipHop
78,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,Lil Pump,Butterfly Doors,Warner Records,78,-1,1,2440844,Winter,January,14,Rap/HipHop
79,spotify:track:4OafepJy2teCjYJbvFE60J,Ariana Grande,breathin,Republic Records,5,77,21,2419092,Winter,January,14,Pop
80,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track,Columbia,1,80,17,2417717,Winter,January,14,Rap/HipHop
81,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,"YG, 2 Chainz, Big Sean, Nicki Minaj","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",Def Jam Recordings,24,73,33,2401653,Winter,January,14,Rap/HipHop
82,spotify:track:0PowxVSTY2uh1CPc8EPKyX,"Marshmello, Roddy Ricch",Project Dreams,Warner Records,82,85,2,2396493,Winter,January,14,Dance
83,spotify:track:4e4fqjx0Izh4svvTef1z7e,"Bebe Rexha, Florida Georgia Line",Meant to Be (feat. Florida Georgia Line),Warner Bros.,16,92,70,2356383,Winter,January,14,Pop
84,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Love Lies (with Normani),RCA Records Label,9,88,47,2334817,Winter,January,14,Pop
85,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Speechless,Warner Records,85,99,23,2327256,Winter,January,14,Country
86,spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,31,104,24,2318347,Winter,January,14,Singer/Songwriter
87,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,no tears left to cry,Republic Records,9,83,38,2315906,Winter,January,14,Pop
88,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,8,74,32,2305507,Winter,January,14,Pop
89,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",Congratulations,Universal Records,5,90,107,2305416,Winter,January,14,Rap/HipHop
90,spotify:track:75lcPkAkUsKWHGBlGM476R,"Trippie Redd, Juice WRLD",1400 / 999 Freestyle,"TenThousand Projects, LLC",23,89,9,2301527,Winter,January,14,Rap/HipHop
91,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,Generation Now/Atlantic,2,86,94,2299985,Winter,January,14,Rap/HipHop
92,spotify:track:2RSHsoi04658QL5xgQVov3,Imagine Dragons,Bad Liar,Kid Ina Korner / Interscope,28,87,9,2250650,Winter,January,14,Alternative
93,spotify:track:7tFiyTwD0nx5a1eklYtX2J,Queen,Bohemian Rhapsody - Remastered 2011,Hollywood Records,42,93,11,2242211,Winter,January,14,Rock
94,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,30,105,83,2238626,Winter,January,14,Pop
95,spotify:track:0lsRatBUs9HNIZAmoGABzk,SHAED,Trampoline,Photo Finish Records,95,140,2,2235159,Winter,January,14,Alternative
96,spotify:track:0hPLZrnDgtKxrym1BHjDhd,21 Savage,can't leave without it,"Slaughter Gang, LLC/Epic Records",45,82,3,2235106,Winter,January,14,Rap/HipHop
97,spotify:track:1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,Faucet Failure,Republic Records,68,124,5,2230176,Winter,January,14,Rap/HipHop
98,spotify:track:3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,79,33,2215712,Winter,January,14,Rap/HipHop
99,spotify:track:4Uy3kNxW2kB8AEoXljEcth,"Nicki Minaj, Anuel AA, Bantu","Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Universal Records,98,98,4,2206789,Winter,January,14,Rap/HipHop
100,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes,Darkroom,78,112,29,2203731,Winter,January,14,Alternative
101,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What,Cash Money/Drake LP6,1,76,40,2200088,Winter,January,14,Rap/HipHop
102,spotify:track:5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,Ruin My Life,Epic/Record Company TEN,43,103,12,2170763,Winter,January,14,Pop
103,spotify:track:2FY7b99s15jUprqC0M5NCT,Imagine Dragons,Natural,Kid Ina Korner / Interscope,28,101,25,2162340,Winter,January,14,Alternative
104,spotify:track:6rz0dTA0PdhXImFV5EjM0w,"Juice WRLD, Seezyn",Hide (feat. Seezyn),Universal Records,100,106,4,2160962,Winter,January,14,Rap/HipHop
105,spotify:track:60SdxE8apGAxMiRrpbmLY0,"Eminem, Joyner Lucas",Lucky You (feat. Joyner Lucas),Aftermath,1,102,19,2160806,Winter,January,14,Rap/HipHop
106,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,15,97,72,2147400,Winter,January,14,Rap/HipHop
107,spotify:track:4S8d14HvHb70ImctNgVzQQ,"Kanye West, Lil Pump",I Love It (& Lil Pump),"Getting Out Our Dreams, Inc./Def Jam Recordings",1,91,18,2140337,Winter,January,14,Rap/HipHop
108,spotify:track:51NFxnQvaosfDDutk0tams,Billie Eilish,bellyache,Darkroom,49,114,10,2140132,Winter,January,14,Alternative
109,spotify:track:2rxQMGVafnNaRaXlRMWPde,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,109,118,28,2113020,Winter,January,14,Country
110,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,Plug Walk,Rich The Kid / (TDE/ISR PS),7,107,48,2108905,Winter,January,14,Rap/HipHop
111,spotify:track:7wBJfHzpfI3032CSD7CE2m,Travis Scott,STARGAZING,Cactus Jack / Epic / Grand Hustle,3,100,23,2095590,Winter,January,14,Rap/HipHop
112,spotify:track:6CTWathupIiDs7U4InHnDA,Ella Mai,Trip,10 Summers / Interscope PS,39,117,19,2073777,Winter,January,14,R&B/Soul
113,spotify:track:5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,God is a woman,Republic Records,4,94,26,2060440,Winter,January,14,Pop
114,spotify:track:4NBTZtAt1F13VvlSKe6KTl,"The Chainsmokers, Kelsea Ballerini",This Feeling,Disruptor Records/Columbia,25,125,15,2054377,Winter,January,14,Dance
115,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,iamcosmic,4,111,52,2049084,Winter,January,14,Pop
116,spotify:track:4KX8vXbouybtUptEyYxtIk,"Kodak Black, Juice WRLD",MoshPit (feat. Juice WRLD),Atlantic Records,22,96,4,2048747,Winter,January,14,Rap/HipHop
117,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Tequila,Warner Records,60,119,43,2029255,Winter,January,14,Country
118,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,Republic Records,4,113,85,2016067,Winter,January,14,Rap/HipHop
119,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",6,108,91,2008760,Winter,January,14,R&B/Soul
120,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,16,116,107,1977469,Winter,January,14,Rap/HipHop
121,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,P2018,120,131,16,1959411,Winter,January,14,Rap/HipHop
122,spotify:track:05t7JMip6JrLuSrMV5yYjX,Calboy,Envy Me,Polo Grounds Music/RCA Records,122,137,2,1931937,Winter,January,14,Rap/HipHop
123,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Cap¢, Farruko",Calma - Remix,Sony Music Latin,123,190,2,1929709,Winter,January,14,Urbano Latino
124,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,Aftermath,1,121,92,1922825,Winter,January,14,Rap/HipHop
125,spotify:track:7oJrVhiTPZGBXWPwhxjy9S,Lil Skies,Lust,All We Got Ent.,79,127,50,1902189,Winter,January,14,Rap/HipHop
126,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,7,110,48,1896270,Winter,January,14,Dance
127,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,115,47,1891215,Winter,January,14,Rap/HipHop
128,spotify:track:7uiBocndm12aKbsdnQ3Scx,Chris Brown,Undecided,Chris Brown Entertainment/RCA Records,128,-1,1,1884454,Winter,January,14,R&B/Soul
129,spotify:track:3wScL5W8H40zzCKN0atfBk,"Lil Wayne, Swizz Beatz",Uproar,"Young Money Records, Inc.",4,122,15,1882475,Winter,January,14,Rap/HipHop
130,spotify:track:21kOVEG3bDCVphKhXL8XmQ,Comethazine,Walk,Alamo,130,144,9,1873316,Winter,January,14,Rap/HipHop
131,spotify:track:1oJ8EDr2pv94IvSd6ZmDgo,"6ix9ine, Nicki Minaj, Kanye West",MAMA,"Scumgang Records/TenThousand Projects, LLC",15,109,7,1858810,Winter,January,14,Rap/HipHop
132,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,New Patek,Generation Now/Atlantic,4,126,17,1853104,Winter,January,14,Rap/HipHop
133,spotify:track:152lZdxL1OR0ZMW6KquMif,Khalid,Location,"Right Hand Music Group, LLC/RCA Records",9,138,104,1819893,Winter,January,14,R&B/Soul
134,spotify:track:4MAsYGSgxsaj73dC2lvFC4,Quavo,WORKIN ME,Quality Control Music/Motown Records/Capitol Records,33,129,22,1781684,Winter,January,14,Rap/HipHop
135,spotify:track:5qHirGR7M9tdm6C17DlzSY,Amin‚,REEL IT IN,Republic Records,40,142,17,1776378,Winter,January,14,Rap/HipHop
136,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Te Bot‚ - Remix,"2018 Flow La Movie, Inc.",42,123,39,1775932,Winter,January,14,Urbano Latino
137,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,21,146,85,1768267,Winter,January,14,Alternative
138,spotify:track:2u7mxWSeoqTXndK5e08jMp,"Lil Skies, Landon Cube",Nowadays (feat. Landon Cube),All We Got Ent.,30,141,53,1763105,Winter,January,14,Rap/HipHop
139,spotify:track:6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,Look At Me!,Bad Vibes Forever / EMPIRE,26,133,84,1759587,Winter,January,14,Rap/HipHop
140,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,"Khalid, 6LACK, Ty Dolla $ign",OTW,"Right Hand Music Group, LLC/RCA Records",20,151,35,1754944,Winter,January,14,Rap/HipHop
141,spotify:track:2Grb4G6t9VIqo6moKUloom,"Metro Boomin, 21 Savage",Don't Come Out The House (with 21 Savage),Republic Records,15,130,10,1745706,Winter,January,14,R&B/Soul
142,spotify:track:1Knctxx9vGZxpZfF66BIEa,Juice WRLD,Legends,Juice WRLD / Interscope PS,68,155,27,1734591,Winter,January,14,Rap/HipHop
143,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,164,16,1727496,Winter,January,14,R&B/Soul
144,spotify:track:2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,Hope,"Bad Vibes Forever, LLC",28,135,35,1715890,Winter,January,14,Rap/HipHop
145,spotify:track:40oKW22ZNNkEdZLJTScaQI,"Kodak Black, XXXTENTACION",Roll in Peace (feat. XXXTENTACION),Atlantic Records,24,148,71,1710212,Winter,January,14,Rap/HipHop
146,spotify:track:7ycWLEP1GsNjVvcjawXz3z,"A$AP Rocky, Skepta",Praise The Lord (Da Shine) (feat. Skepta),A$AP Worldwide/Polo Grounds Music/RCA Records,11,149,32,1690394,Winter,January,14,Rap/HipHop
147,spotify:track:3oh6SCCeLuXhFpEyepla6G,Blueface,Thotiana,Fifth Amendment Entertainment/eOne Music,147,-1,1,1688634,Winter,January,14,Rap/HipHop
148,spotify:track:2wOXxtHZgRkkrkEbKLzzqs,21 Savage,1.5,"Slaughter Gang, LLC/Epic Records",52,120,3,1684605,Winter,January,14,Rap/HipHop
149,spotify:track:04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,I'm a Mess,Warner Bros.,74,160,24,1681293,Winter,January,14,Pop
150,spotify:track:1iPBD72u3nAyFEeardYuBV,Lil Mosey,Kamikaze,Mogul Vision/Interscope Records,76,159,11,1678080,Winter,January,14,Rap/HipHop
151,spotify:track:4mHgYpuGHu99Mw69E83CP2,Trippie Redd,Taking A Walk,"TenThousand Projects, LLC",13,154,22,1677214,Winter,January,14,Rap/HipHop
152,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)",Universal Records,19,170,38,1668858,Winter,January,14,Pop
153,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,Universal Republic Records,1,158,37,1666364,Winter,January,14,Pop
154,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,UMGRI Interscope,19,150,31,1666199,Winter,January,14,Pop
155,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,11,161,97,1662874,Winter,January,14,Alternative
156,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,"Migos, Drake",Walk It Talk It,"Quality Control Music, LLC",6,136,48,1643695,Winter,January,14,Rap/HipHop
